tn_id,sku,nombre,marca,precio_actual,stock_actual,precio_nuevo,stock_nuevo,notas
351969562,DLG-132-KIT-TAN,Magpul M-LOCK INCLUDO - Turkish Upgrade Kit - Tan,Magpul,296450.00,5,,,
351969564,DLG-130-BLK,Magpul MIL SPEC - CULATA COMPACTA MIL SPEC,Magpul,126372.40,5,,,
351969565,MAG 410 BK,Magpul MOE - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***,Magpul,205821.00,5,,,
351969569,MAG 348 BK,Magpul MOE SL - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***,Magpul,296480.25,5,,,
351969572,KEY-NORD-BK,Magpul NORD - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***,Magpul,71148.00,5,,,
351969574,DLG-049-BLK,Magpul PICATINNY - Ergonomic Pointing Foregrip-Picatinny - Black,Magpul,50481.20,5,,,
351969577,DLG-048-BLK,Magpul PICATINNY - Foldable Picatinny Foregrip - Black,Magpul,63694.40,5,,,
351969579,DLG-151-BLK,Magpul PICATINNY - Picatinny Handstop w/QD Base - Black,Magpul,22191.40,5,,,
351969582,DLG-158-BLK,Magpul PICATINNY - QD Picatinny Mount - Black,Magpul,22191.40,5,,,
351969584,DLG-158-TAN,Magpul PICATINNY - QD Picatinny Mount - Tan,Magpul,22191.40,5,,,
351969586,DLG-168-BLK,Magpul PICATINNY - Shtgn Shell Holder Picatinny - Black,Magpul,37945.60,5,,,
351969588,DLG-162-BLK,Magpul PICATINNY - Streaked Picatinny Foregrip Rubberized - Black,Magpul,56833.70,5,,,
351969590,DLG-159-BLK,Magpul PICATINNY - Tactical Picatinny Handstop w/QD Base - Black,Magpul,50481.20,5,,,
351969591,CK-MMAC-006,Canik MMAC 006 - GUION PUNTO BLANCO,Canik,26952.75,5,,,
351969594,CK-MMAC-007,Canik MMAC 007 - GUION FIBRA OPTICA,Canik,47208.15,5,,,
351969596,CK-MMAC-053,Canik MMAC 053 - RESORTE RECUPERADOR ALIVIANADO - FULL SIZE (AZUL),Canik,60766.20,5,,,
