"Identificador de URL";"Nombre";"Categorías";"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";"Precio";"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";"Stock";"SKU";"Código de barras";"Mostrar en tienda";"Envío sin cargo";"Descripción";"Tags";"Título para SEO";"Descripción para SEO";"Marca";"Producto Físico";"MPN (Número de pieza del fabricante)";"Sexo";"Rango de edad";"Costo"
"magpul-403-grip-frontal-recto-texturado-picat";"Magpul 403 - GRIP FRONTAL RECTO TEXTURADO PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"27569.85";"";"1";"15";"10";"30";"5";"KEY-403-BK";"";"SI";"NO";"403 - GRIP FRONTAL RECTO TEXTURADO PICATINNY";"magpul";"Magpul 403 - GRIP FRONTAL RECTO TEXTURADO PICATINNY | JGO Armeria";"403 - GRIP FRONTAL RECTO TEXTURADO PICATINNY";"Magpul";"SI";"KEY-403-BK";"";"";""
"magpul-404-grip-frontal-recto-bipode-integrad";"Magpul 404 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA AUTOMATICA PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"71148";"";"1";"15";"10";"30";"5";"KEY-404-BK";"";"SI";"NO";"404 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA AUTOMATICA PICATINNY";"magpul";"Magpul 404 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA AUTOMATICA PICATINNY | JGO Armeria";"404 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA AUTOMATICA PICATINNY";"Magpul";"SI";"KEY-404-BK";"";"";""
"magpul-405-grip-frontal-recto-texturado-m-lok";"Magpul 405 - GRIP FRONTAL RECTO TEXTURADO M-LOK";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"31508.4";"";"1";"15";"10";"30";"5";"KEY-405-BK";"";"SI";"NO";"405 - GRIP FRONTAL RECTO TEXTURADO M-LOK";"magpul";"Magpul 405 - GRIP FRONTAL RECTO TEXTURADO M-LOK | JGO Armeria";"405 - GRIP FRONTAL RECTO TEXTURADO M-LOK";"Magpul";"SI";"KEY-405-BK";"";"";""
"magpul-406-grip-frontal-recto-bipode-integrad";"Magpul 406 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA MANUAL PICATINNY / M-LOK";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"71148";"";"1";"15";"10";"30";"5";"KEY-406-BK";"";"SI";"NO";"406 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA MANUAL PICATINNY / M-LOK";"magpul";"Magpul 406 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA MANUAL PICATINNY / M-LOK | JGO Armeria";"406 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA MANUAL PICATINNY / M-LOK";"Magpul";"SI";"KEY-406-BK";"";"";""
"magpul-408-grip-frontal-recto-picatinny-negro";"Magpul 408 - GRIP FRONTAL RECTO PICATINNY NEGRO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"27569.85";"";"1";"15";"10";"30";"5";"KEY-408-BK";"";"SI";"NO";"408 - GRIP FRONTAL RECTO PICATINNY NEGRO";"magpul";"Magpul 408 - GRIP FRONTAL RECTO PICATINNY NEGRO | JGO Armeria";"408 - GRIP FRONTAL RECTO PICATINNY NEGRO";"Magpul";"SI";"KEY-408-BK";"";"";""
"magpul-408-grip-frontal-recto-picatinny-tan";"Magpul 408 - GRIP FRONTAL RECTO PICATINNY TAN";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"31508.4";"";"1";"15";"10";"30";"5";"KEY-408-TAN";"";"SI";"NO";"408 - GRIP FRONTAL RECTO PICATINNY TAN";"magpul";"Magpul 408 - GRIP FRONTAL RECTO PICATINNY TAN | JGO Armeria";"408 - GRIP FRONTAL RECTO PICATINNY TAN";"Magpul";"SI";"KEY-408-TAN";"";"";""
"magpul-409-grip-frontal-recto-m-lok-negro";"Magpul 409 - GRIP FRONTAL RECTO M-LOK NEGRO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"31508.4";"";"1";"15";"10";"30";"5";"KEY-409-BK";"";"SI";"NO";"409 - GRIP FRONTAL RECTO M-LOK NEGRO";"magpul";"Magpul 409 - GRIP FRONTAL RECTO M-LOK NEGRO | JGO Armeria";"409 - GRIP FRONTAL RECTO M-LOK NEGRO";"Magpul";"SI";"KEY-409-BK";"";"";""
"magpul-409-grip-frontal-recto-m-lok-tan";"Magpul 409 - GRIP FRONTAL RECTO M-LOK TAN";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"35446.95";"";"1";"15";"10";"30";"5";"KEY-409-TAN";"";"SI";"NO";"409 - GRIP FRONTAL RECTO M-LOK TAN";"magpul";"Magpul 409 - GRIP FRONTAL RECTO M-LOK TAN | JGO Armeria";"409 - GRIP FRONTAL RECTO M-LOK TAN";"Magpul";"SI";"KEY-409-TAN";"";"";""
"magpul-410-grip-frontal-recto-rebatible-m-lok";"Magpul 410 - GRIP FRONTAL RECTO REBATIBLE M-LOK NEGRO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"45738";"";"1";"15";"10";"30";"5";"KEY-410-BK";"";"SI";"NO";"410 - GRIP FRONTAL RECTO REBATIBLE M-LOK NEGRO";"magpul";"Magpul 410 - GRIP FRONTAL RECTO REBATIBLE M-LOK NEGRO | JGO Armeria";"410 - GRIP FRONTAL RECTO REBATIBLE M-LOK NEGRO";"Magpul";"SI";"KEY-410-BK";"";"";""
"magpul-412-grip-frontal-recto-rebatible-picat";"Magpul 412 - GRIP FRONTAL RECTO REBATIBLE PICATRINNY NEGRO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"43197";"";"1";"15";"10";"30";"5";"KEY-412-BK";"";"SI";"NO";"412 - GRIP FRONTAL RECTO REBATIBLE PICATRINNY NEGRO";"magpul";"Magpul 412 - GRIP FRONTAL RECTO REBATIBLE PICATRINNY NEGRO | JGO Armeria";"412 - GRIP FRONTAL RECTO REBATIBLE PICATRINNY NEGRO";"Magpul";"SI";"KEY-412-BK";"";"";""
"magpul-600-anilla-para-correa-qd-metalica";"Magpul 600 - ANILLA PARA CORREA QD METALICA";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"19057.5";"";"1";"15";"10";"30";"5";"KEY-600";"";"SI";"NO";"600 - ANILLA PARA CORREA QD METALICA";"magpul";"Magpul 600 - ANILLA PARA CORREA QD METALICA | JGO Armeria";"600 - ANILLA PARA CORREA QD METALICA";"Magpul";"SI";"KEY-600";"";"";""
"magpul-601-anilla-para-correa-polimero-picati";"Magpul 601 - ANILLA PARA CORREA POLIMERO PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"9528.75";"";"1";"15";"10";"30";"5";"KEY-601-BK";"";"SI";"NO";"601 - ANILLA PARA CORREA POLIMERO PICATINNY";"magpul";"Magpul 601 - ANILLA PARA CORREA POLIMERO PICATINNY | JGO Armeria";"601 - ANILLA PARA CORREA POLIMERO PICATINNY";"Magpul";"SI";"KEY-601-BK";"";"";""
