tn_id,sku,nombre,marca,precio,stock,url,publicado
351969505,KEY-713,Magpul 713 - PALANCAS SELECTORAS BAR9 / 15 AMBIDIESTRA SEMI AUTO ACERO,Magpul,50820.00,5,https://jgo.com.ar/productos/magpul-713-palancas-selectoras-bar9-15-ambi/,SI
351969507,KEY-ALPHA-BK,Magpul ALPHA - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***,Magpul,71148.00,5,https://jgo.com.ar/productos/magpul-alpha-culata-ar15-m4-crabine-bar9/,SI
351969510,KEY-ATOM-BK,Magpul ATOM - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***,Magpul,71148.00,5,https://jgo.com.ar/productos/magpul-atom-culata-ar15-m4-crabine-bar9-c/,SI
351969520,MF BMS-BL,Magpul BATTLELINK MINIMALIST - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***,Magpul,159266.25,5,https://jgo.com.ar/productos/magpul-battlelink-minimalist-culata-ar15-m4/,SI
351969529,DLG-054-BLK,Magpul COMMERCIAL SPEC - CULATA FINGERPRINT COMMERCIAL SPEC,Magpul,142126.60,5,https://jgo.com.ar/productos/magpul-commercial-spec-culata-fingerprint-com/,SI
351969536,DLG-047-BLK,Magpul M-LOCK - Foldable / Plegable M-Lok Foregrip - Black,Magpul,75806.50,5,https://jgo.com.ar/productos/magpul-m-lock-foldable-plegable-m-lok-foreg/,SI
351969537,DLG-150-BLK,Magpul M-LOCK - QD M-Lok Mount - Black,Magpul,31593.10,5,https://jgo.com.ar/productos/magpul-m-lock-qd-m-lok-mount-black/,SI
351969538,DLG-150-TAN,Magpul M-LOCK - QD M-Lok Mount - Tan,Magpul,31593.10,5,https://jgo.com.ar/productos/magpul-m-lock-qd-m-lok-mount-tan/,SI
351969541,DLG-164-BLK,Magpul M-LOCK - Streaked M-Lok Foregrip Hard - Black,Magpul,56833.70,5,https://jgo.com.ar/productos/magpul-m-lock-streaked-m-lok-foregrip-hard/,SI
351969544,DLG-165-BLK,Magpul M-LOCK - Streaked M-Lok Foregrip Rubberized - Black,Magpul,69454.00,5,https://jgo.com.ar/productos/magpul-m-lock-streaked-m-lok-foregrip-rubberi/,SI
351969545,DLG-169-BLK,Magpul M-LOCK - Tactical Handstop M-Lok QD Base - Black,Magpul,63186.20,5,https://jgo.com.ar/productos/magpul-m-lock-tactical-handstop-m-lok-qd-base/,SI
351969547,DLG-145-BLK,Magpul M-LOCK INCLUDO - Mssbrg 500-590 M-Lok Handguard - Black,Magpul,69454.00,5,https://jgo.com.ar/productos/magpul-m-lock-includo-mssbrg-500-590-m-lok-ha/,SI
351969549,DLG-118-KIT-BLK,Magpul M-LOCK INCLUDO - Mssbrg 500/590 Upgrade Kit - Black,Magpul,296450.00,5,https://jgo.com.ar/productos/magpul-m-lock-includo-mssbrg-500-590-upgrade/,SI
351969550,DLG-135-BLK,Magpul M-LOCK INCLUDO - Rmngtn 870 M-Lok Handguard - Black,Magpul,69454.00,5,https://jgo.com.ar/productos/magpul-m-lock-includo-rmngtn-870-m-lok-handgu/,SI
